option,revision,step,is_attack,mean_asr,std_asr,ci95_asr,n
dpo_adam,step-30,30,False,0.343333,0.075056,0.186463,3
dpo_adam,step-60,60,False,0.166667,0.086217,0.214192,3
dpo_adam,step-90,90,False,0.153333,0.015275,0.037949,3
dpo_adam,step-120,120,False,0.130000,0.026458,0.065729,3
dpo_adam,step-150,150,False,0.110000,0.017321,0.043030,3
dpo_adam,step-180,180,False,0.123333,0.011547,0.028687,3
dpo_adam,step-210,210,False,0.106667,0.005774,0.014343,3
dpo_adam,step-240,240,False,0.113333,0.020817,0.051716,3
dpo_adam,,0,True,0.456667,0.041633,0.103431,3
dpo_sgd,step-30,30,False,0.120000,0.060828,0.151116,3
dpo_sgd,step-60,60,False,0.023333,0.032146,0.079860,3
dpo_sgd,step-90,90,False,0.100000,0.104403,0.259373,3
dpo_sgd,step-120,120,False,0.056667,0.089629,0.222668,3
dpo_sgd,step-150,150,False,0.056667,0.055076,0.136827,3
dpo_sgd,step-180,180,False,0.050000,0.036056,0.089574,3
dpo_sgd,step-210,210,False,0.033333,0.040415,0.100403,3
dpo_sgd,step-240,240,False,0.030000,0.036056,0.089574,3
dpo_sgd,,0,True,0.610000,0.020000,0.049687,3
sft_adam,step-30,30,False,0.333322,0.003419,0.008494,3
sft_adam,step-60,60,False,0.372433,0.070239,0.174497,3
sft_adam,step-90,90,False,0.500481,0.103090,0.256110,3
sft_adam,step-120,120,False,0.406667,0.132791,0.329897,3
sft_adam,step-150,150,False,0.436667,0.081445,0.202338,3
sft_adam,step-180,180,False,0.434646,0.092021,0.228610,3
sft_adam,step-210,210,False,0.386667,0.080208,0.199264,3
sft_adam,step-240,240,False,0.390000,0.070000,0.173904,3
sft_adam,,0,True,0.396667,0.051316,0.127486,3
sft_sgd,step-30,30,False,0.351834,0.128222,0.318546,3
sft_sgd,step-60,60,False,0.318371,0.013058,0.032440,3
sft_sgd,step-90,90,False,0.494983,0.165000,0.409916,3
sft_sgd,step-120,120,False,0.593333,0.090185,0.224050,3
sft_sgd,step-150,150,False,0.546054,0.159383,0.395962,3
sft_sgd,step-180,180,False,0.571378,0.164328,0.408245,3
sft_sgd,step-210,210,False,0.549028,0.112928,0.280552,3
sft_sgd,step-240,240,False,0.560000,0.190000,0.472024,3
sft_sgd,,0,True,0.463333,0.055076,0.136827,3
