option,series,value,std,ci95
dpo_adam,2048x2048,0.7740418612957001,0.00016993916724691532,0.0004221863662820974
dpo_adam,512x2048,0.5937904417514801,0.0001244865956398178,0.0003092668059720498
dpo_adam,2048x8192,0.569200724363327,0.0008549130366428581,0.002123893121725259
dpo_sgd,2048x2048,0.9052744582295418,0.00014300865524889862,0.00035528186635572467
dpo_sgd,512x2048,0.8712484389543533,0.0009190809908180011,0.0022833080220324834
dpo_sgd,2048x8192,0.7108200788497925,0.0014569171873508734,0.003619475034898195
sft_adam,2048x2048,0.8487549275159836,0.0016248125373078918,0.00403658386779617
sft_adam,512x2048,0.691070556640625,0.0032035804374402374,0.007958777284168763
sft_adam,2048x8192,0.6486590504646301,0.0038290850597373226,0.009512742316824033
sft_sgd,2048x2048,0.9243151545524597,0.001949494761977276,0.00484320432410562
sft_sgd,512x2048,0.8588961213827133,0.008717933225280982,0.021658294609173758
sft_sgd,2048x8192,0.7573487460613251,0.0031812087055869912,0.007903198335939388
