base_model,model,dataset,mean_kl
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,hh-rlhf,0.02375088520348072
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,alpaca,0.0039839557837694885
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,wikipedia,0.006170037714764476
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,overrefusal,0.00491531912703067
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,overrefusal-toxic,0.0038747979095205666
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,hh-rlhf,0.017397633660584687
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,alpaca,0.0024916487163864076
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,wikipedia,0.002199223334901035
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,overrefusal,0.0023928613401949404
HuggingFaceTB/SmolLM2-360M,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,overrefusal-toxic,0.0021744710044004022
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,hh-rlhf,0.0007706476899329573
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,alpaca,0.0003036380687262863
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,wikipedia,0.0013711239327676595
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,overrefusal,0.0012529739062301815
excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e,excepto64/lox_SmolLM2-360M_hhrlhf_r0_1e_extracted_k6,overrefusal-toxic,0.0010695085977204144
